Year,Winning team,Coach,Games,Losing team,Coach,"Winning goal
"
1987,"Edmonton Oilers (CC) (4, 3–1)",Glen Sather,4–3,"Philadelphia Flyers (PW) (6, 2–4)",Mike Keenan,"Jari Kurri (14:59, second)
"
1988,"Edmonton Oilers (CC) (5, 4–1)",Glen Sather,4–0,"Boston Bruins (PW) (16, 5–11)",Terry O'Reilly,"Wayne Gretzky (9:44, second)
"
1989,"Calgary Flames (CC) (2, 1–1)",Terry Crisp,4–2,"Montreal Canadiens (PW) (33, 23–9)",Pat Burns,"Doug Gilmour (11:02, third)
"
1990,"Edmonton Oilers (CC) (6, 5–1)",John Muckler,4–1,"Boston Bruins (PW) (17, 5–12)",Mike Milbury,"Craig Simpson (9:31, second)
"
1991,"Pittsburgh Penguins (PW) (1, 1–0)",Bob Johnson,4–2,"Minnesota North Stars (CC) (2, 0–2)",Bob Gainey,"Ulf Samuelsson (2:00, first)
"
1992,"Pittsburgh Penguins (PW) (2, 2–0)",Scotty Bowman,4–0,"Chicago Blackhawks (CC) (10, 3–7)",Mike Keenan,"Ron Francis (7:59, third)
"
1993,"Montreal Canadiens (PW) (34, 24–9)",Jacques Demers,4–1,"Los Angeles Kings (CC) (1, 0–1)",Barry Melrose,"Kirk Muller (3:51, second)
"
1994,"New York Rangers (EC) (10, 4–6)",Mike Keenan,4–3,"Vancouver Canucks (WC) (2, 0–2)",Pat Quinn,"Mark Messier (13:29, second)
"
1995,"New Jersey Devils (EC) (1, 1–0)",Jacques Lemaire,4–0,"Detroit Red Wings (WC) (19, 7–12)",Scotty Bowman,"Neal Broten (7:56, second)
"
1996,"Colorado Avalanche (WC) (1, 1–0)",Marc Crawford,4–0,"Florida Panthers (EC) (1, 0–1)",Doug MacLean,"Uwe Krupp (4:31, third OT)
"
1997,"Detroit Red Wings (WC) (20, 8–12)",Scotty Bowman,4–0,"Philadelphia Flyers (EC) (7, 2–5)",Terry Murray,"Darren McCarty (13:02, second)
"
1998,"Detroit Red Wings (WC) (21, 9–12)",Scotty Bowman,4–0,"Washington Capitals (EC) (1, 0–1)",Ron Wilson,"Martin Lapointe (2:26, second)
"
1999,"Dallas Stars (WC) (3, 1–2)",Ken Hitchcock,4–2,"Buffalo Sabres (EC) (2, 0–2)",Lindy Ruff,"Brett Hull (14:51, third OT)
"
2000,"New Jersey Devils (EC) (2, 2–0)",Larry Robinson (interim),4–2,"Dallas Stars (WC) (4, 1–3)",Ken Hitchcock,"Jason Arnott (8:20, second OT)
"
2001,"Colorado Avalanche (WC) (2, 2–0)",Bob Hartley,4–3,"New Jersey Devils (EC) (3, 2–1)",Larry Robinson,"Alex Tanguay (4:57, second)
"
2002,"Detroit Red Wings (WC) (22, 10–12)",Scotty Bowman,4–1,"Carolina Hurricanes (EC) (1, 0–1)",Paul Maurice,"Brendan Shanahan (14:04, second)
"
2003,"New Jersey Devils (EC) (4, 3–1)",Pat Burns,4–3,"Mighty Ducks of Anaheim (WC) (1, 0–1)",Mike Babcock,"Michael Rupp (2:22, second)
"
2004,"Tampa Bay Lightning (EC) (1, 1–0)",John Tortorella,4–3,"Calgary Flames (WC) (3, 1–2)",Darryl Sutter,"Ruslan Fedotenko (14:38, second)
"
2005,"Season cancelled due to the 2004–05 NHL lockout
",,,,,
2006,"Carolina Hurricanes (EC) (2, 1–1)",Peter Laviolette,4–3,"Edmonton Oilers (WC) (7, 5–2)",Craig MacTavish,"Frantisek Kaberle (4:18, second)
"
2007,"Anaheim Ducks (WC) (2, 1–1)",Randy Carlyle,4–1,"Ottawa Senators (EC) (1, 0–1)",Bryan Murray,"Travis Moen (15:44, second)
"
2008,"Detroit Red Wings (WC) (23, 11–12)",Mike Babcock,4–2,"Pittsburgh Penguins (EC) (3, 2–1)",Michel Therrien,"Henrik Zetterberg (7:36, third)
"
2009,"Pittsburgh Penguins (EC) (4, 3–1)",Dan Bylsma,4–3,"Detroit Red Wings (WC) (24, 11–13)",Mike Babcock,"Maxime Talbot (10:07, second)
"
2010,"Chicago Blackhawks (WC) (11, 4–7)",Joel Quenneville,4–2,"Philadelphia Flyers (EC) (8, 2–6)",Peter Laviolette,"Patrick Kane (4:06, OT)
"
2011,"Boston Bruins (EC) (18, 6–12)",Claude Julien,4–3,"Vancouver Canucks (WC) (3, 0–3)",Alain Vigneault,"Patrice Bergeron (14:37, first)
"
2012,"Los Angeles Kings (WC) (2, 1–1)",Darryl Sutter,4–2,"New Jersey Devils (EC) (5, 3–2)",Peter DeBoer,"Jeff Carter (12:45, first)
"
2013,"Chicago Blackhawks (WC) (12, 5–7)",Joel Quenneville,4–2,"Boston Bruins (EC) (19, 6–13)",Claude Julien,"Dave Bolland (19:01, third)
"
2014,"Los Angeles Kings (WC) (3, 2–1)",Darryl Sutter,4–1,"New York Rangers (EC) (11, 4–7)",Alain Vigneault,"Alec Martinez (14:43, second OT)
"
2015,"Chicago Blackhawks  (WC) (13, 6–7)",Joel Quenneville,4–2,"Tampa Bay Lightning (EC) (2, 1–1)",Jon Cooper,"Duncan Keith (17:13, second)
"
2016,"Pittsburgh Penguins (EC) (5, 4–1)",Mike Sullivan,4–2,"San Jose Sharks (WC) (1, 0–1)",Peter DeBoer,"Kris Letang (7:46, second)
"
2017,"Pittsburgh Penguins (EC) (6, 5–1)",Mike Sullivan,4–2,"Nashville Predators (WC) (1, 0–1)",Peter Laviolette,"Patric Hornqvist (18:25, third)
"
2018,"Washington Capitals (EC) (2, 1–1)",Barry Trotz,4–1,"Vegas Golden Knights (WC) (1, 0–1)",Gerard Gallant,"Lars Eller (12:23, third)
"
2019,"St. Louis Blues (WC) (4, 1–3)",Craig Berube (interim),4–3,"Boston Bruins (EC) (20, 6–14)",Bruce Cassidy,"Alex Pietrangelo (19:52, first)
"
